偌	亻艹ナ口 [ r f s b ]
偍	亻日一龰 [ r n k ll ]
偎	亻田一{丧下} [ r nb k q ]
偏	亻户冂卄 [ r pv m f ]
偐	亻{立上}厂彡 [ r yu s e ]
偑	亻几丿虫 [ r mg t l ]
偒	亻日一勹{丿丿} [ r n k q e ]
偓	亻尸至 [ r vt aj ]
偔	亻口口二㇉ [ r b b jg x ]
偕	亻匕匕白 [ r x x rn ]
偖	亻者 [ r jn ]
偗	亻小丿目 [ r iw t m ]
偘	亻口口口 [ r b b b ]
偙	亻{立上}冖巾 [ r yu pp ml ]
做	亻古攵 [ r fb tw ]
偛	亻丿十臼 [ r t fg rj ]
停	亻亠口冖丁 [ r y b pp kl ]
偝	亻北月 [ r ux q ]
偞	亻廿㇗木 [ r fk x d ]
偟	亻白王 [ r rn h ]
偠	亻覀女 [ r dg xk ]
偡	亻其㇗ [ r fh x ]
偢	亻禾火 [ r td ow ]
偣	亻音 [ r yn ]
偤	亻丷酉 [ r u dk ]
健	亻廴聿 [ r c vl ]
偦	亻疋月 [ r vl q ]
偧	亻大夕夕 [ r sy qy qy ]
偨	亻止匕木 [ r ll x d ]
偩	亻⺈貝 [ r qv mw ]
偪	亻一口田 [ r k b nb ]
偫	亻彳土寸 [ r eg j gy ]
偬	亻勹{丿丿}丶心 [ r q e y pu ]
偭	亻丆囗〢二 [ r s bg ng jg ]
偮	亻口耳 [ r b hd ]
偯	亻亠口𧘇 [ r y b q ]
偰	亻丰刀大 [ r hl co sy ]
偱	亻⺁十目 [ r e fg m ]
偲	亻田心 [ r nb pu ]
偳	亻山而 [ r mx sm ]
側	亻貝刂 [ r mw ng ]
偵	亻⺊貝 [ r lg mw ]
偶	亻日冂丨一丶 [ r n m l k y ]
偷	亻亼月刂 [ r wk q ng ]
偸	亻丿㇏一月巜 [ r t y k q xg ]
偹	亻丨夂田 [ r l tw nb ]
偺	亻夂卜日 [ r tw lg n ]
偻	亻米女 [ r ud xk ]
偼	亻⺊彐龰 [ r lg vh ll ]
偽	亻ソ乛乛㇆灬 [ r u v v c ow ]
偾	亻十廾贝 [ r fg f mw ]
偿	亻龸二厶 [ r ip jg xy ]
傀	亻鬼 [ r rb ]
傁	亻{叟上}又 [ r rj vy ]
傂	亻⺁虍几 [ r e la mg ]
傃	亻龶糸 [ r hl x ]
傄	亻大丷目 [ r sy u m ]
傅	亻甫寸 [ r du gy ]
傆	亻厂白小 [ r s rn iw ]
傇	亻艹耳 [ r f hd ]
傈	亻覀木 [ r dg d ]
傉	亻辰寸 [ r sj gy ]
傊	亻員 [ r bm ]
傋	亻{冓上}冉 [ r fj mj ]
傌	亻馬 [ r v ]
傍	亻{立上}冖方 [ r yu pp yc ]
傎	亻十{具上}八 [ r fg mh w ]
傏	亻广彐丨口 [ r ys vh l b ]
傐	亻亠口冂口 [ r y b m b ]
傑	亻夕㐄木 [ r qy tj d ]
傒	亻爫㇜厶大 [ r w x xy sy ]
傓	亻户羽 [ r pv cc ]
傔	亻兼 [ r uw ]
傕	亻冖隹 [ r pp rl ]
傖	亻人丶尸一口 [ r wg y vt k b ]
傗	亻亠㇜厶田 [ r y x xy nb ]
傘	人人人人人十 [ wg wg wg wg wg fg ]
備	亻龷丿用 [ r fk t mj ]
傚	亻亠八乂攵 [ r y w wy tw ]
傛	亻穴人口 [ r pw wg b ]
傜	亻爫缶 [ r w tm ]
傝	亻日羽 [ r n cc ]
傞	亻⺶工 [ r uh jl ]
傟	亻八厶羽 [ r w xy cc ]
傠	亻言寸 [ r y gy ]
傡	亻立立 [ r yu yu ]
傢	亻宀豕 [ r pg se ]
傣	亻𡗗氺 [ r hw io ]
傤	亻𢦏车 [ r fa af ]
傥	亻党 [ r ip ]
傦	亻骨 [ r mp ]
傧	亻宀斤一八 [ r pg ek k w ]
储	亻讠者 [ r y jn ]
傩	亻又隹 [ r vy rl ]
傪	亻厶厶厶人彡 [ r xy xy xy wg e ]
傫	亻田糸 [ r nb x ]
催	亻山隹 [ r mx rl ]
傭	亻广彐月丨 [ r ys vh q l ]
傮	亻一冂龷日 [ r k m fk n ]
傯	亻{囟框}夂心 [ r rb tw pu ]
傰	亻山月月 [ r mx q q ]
傱	亻彳人人龰 [ r eg wg wg ll ]
傲	亻{敖左}攵 [ r hc tw ]
傳	亻{惠上}寸 [ r du gy ]
傴	亻匚口口口 [ r a b b b ]
債	亻龶貝 [ r hl mw ]
傶	亻戊⺊一小 [ r at lg k iw ]
傷	亻𠂉日一勹{丿丿} [ r tk n k q e ]
傸	亻大㐅乂㐅乂 [ r sy wy wy wy wy ]
傹	亻音儿 [ r yn qg ]
傺	亻{祭上}示 [ r qy ji ]
傻	亻{囟框}㐅八夂 [ r rb wy w tw ]
傼	亻廿口二人 [ r fk b jg wg ]
傽	亻音十 [ r yn fg ]
傾	亻匕頁 [ r x sw ]
傿	亻一止一㇉灬 [ r k ll k x ow ]
僀	亻廿儿冖巾 [ r fk qg pp ml ]
僁	亻釆心 [ r wd pu ]
僂	亻{婁上}女 [ r ud xk ]
僃	亻艹勹用 [ r f q mj ]
僄	亻覀示 [ r dg ji ]
僅	亻廿口龶 [ r fk b hl ]
僆	亻辶車 [ r p af ]
僇	亻羽人彡 [ r cc wg e ]
僈	亻日罒又 [ r n mn vy ]
僉	亼口口人人 [ wk b b wg wg ]
僊	亻覀大巳 [ r dg sy vp ]
僋	亻人丶㇇貝 [ r wg y v mw ]
僌	亻車攵 [ r af tw ]
働	亻丿一日土力 [ r t k n j ct ]
僎	亻巳巳龷八 [ r vp vp fk w ]
像	亻⺈口{豕下} [ r qv b se ]
僐	亻羊䒑口 [ r uh uk b ]
僑	亻丿大口冂口 [ r t sy b m b ]
僒	亻穴彐丿口 [ r pw vh t b ]
僓	亻口丨一貝 [ r b l k mw ]
僔	亻丷酉寸 [ r u dk gy ]
僕	亻业{菐下} [ r nu uh ]
僖	亻士口䒑口 [ r j b uk b ]
僗	亻火火冖力 [ r ow ow pp ct ]
僘	亻⺌冂口攵 [ r iw m b tw ]
僙	亻龷由八 [ r fk no w ]
僚	亻大丷日小 [ r sy u n iw ]
僛	亻其欠 [ r fh qw ]
僜	亻癶一口䒑 [ r vy k b uk ]
僝	亻尸子子子 [ r vt ck ck ck ]
僞	亻爫丿乛乛㇆灬 [ r w t v v c ow ]
僟	亻㇜厶㇜厶戈人 [ r x xy x xy at wg ]
僠	亻番 [ r wn ]
僡	亻{惠上}心 [ r du pu ]
僢	亻爫冖夕㐄 [ r w pp qy tj ]
僣	亻二人二人日 [ r jg wg jg wg n ]
僤	亻口口日十 [ r b b n fg ]
僥	亻土土土兀 [ r j j j sx ]
僦	亻亠口小尤 [ r y b iw sx ]
僧	亻丷{曾中}日 [ r u mn n ]
僨	亻十廾貝 [ r fg f mw ]
僩	亻門月 [ r up q ]
